Brand,Title,Info,Price,Price Before Discount,Discount,Stock
ACER,AIO Acer Aspire C22-1700-1214G0T21Mi/T004,Intel i3-1215U / 4GB DDR4 / 256GB SSD / 21.5 inch / Integrated Graphics / Win11,19900,19900,จัดส่ง 2-3 วันทำการ,
ACER,AIO Acer Aspire C22-1700-1218G0T21Mi/T001,Intel i3-1215U / 8GB DDR4 / 256GB SSD / 21.5 inch / Integrated Graphics / Win11,19900,19900,,
ACER,AIO Acer Aspire C22-1700-1238G0T21Mi/T001,Intel i5-1235U / 8GB DDR4 / 512GB SSD / 21.5 inch / Integrated Graphics / Win11,22900,22900,,
ACER,AIO Acer Aspire C24-1700-1218G0T23Mi/T001,Intel i3-1215U / 8GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / Win11,19900,19900,,
ACER,AIO Acer Aspire C24-1700-1218G0T23Mi/T002,Intel i3-1215U / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win11,21900,21900,,
ACER,AIO Acer Aspire C24-1100-R38G0T23Mi/T001,AMD Ryzen 3 5300U / 8GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / Win 11,19900,19900,,
ACER,AIO Acer Aspire C24-1650-1134G1T23Mi/T00Q,Intel i5-1135G7 / 4GB DDR4 / 128GB SSD + 1TB HDD / 23.8 inch / Integrated Graphics / Win 11,23900,23900,จัดส่ง 2-3 วันทำการ,
ACER,AIO Acer Aspire C24-1750-1248G0T23Mi/T006,Intel i5-1240P / 8GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / Win 11,22900,22900,,
ACER,AIO Acer Aspire C24-1100-R58G0T23Mi/T001,AMD Ryzen 5 5500U / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,22900,22900,,
ACER,AIO Acer Aspire C24-1700-1238G0T23Mi/T001,Intel i5-1235U / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win11,25900,25900,,
ACER,AIO Acer Aspire C24-1750-1248G0T23Mi/T001,Intel i5-1240P / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,25900,25900,,
ACER,AIO Acer Aspire C24-1700-12316G0T23Mi/T002,Intel i5-1235U / 16GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win11,26900,26900,จัดส่ง 2-3 วันทำการ,
ACER,AIO Acer Aspire C24-1750-1268G0T23Mi/T001,Intel i7-1260P / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,29900,29900,,
ACER,AIO Acer Aspire C24-1750-12616G0T23Mi/T003,Intel i7-1260P / 16GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,31900,31900,,
ACER,AIO Acer Aspire C27-1700-12316G0T27Mi/T002,Intel i5-1235U / 16GB DDR4 / 512GB SSD / 27 inch / Integrated Graphics / Win 11,28900,28900,,
ASUS,AIO Asus V222GAK-BA012W,Intel Pentium J5040 / 4GB DDR4 / 256GB SSD / 21.5 inch / Integrated Graphics / Win11,15990,15990,,
ASUS,AIO Asus V241EAK-BA028WS,IntelPentium 7505 / 4GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / Win 11,16990,16990,จัดส่ง 2-3 วันทำการ,
ASUS,AIO Asus V241EAK-BA030WS,Intel i3-1115G4 / 8GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / Win 11,21990,21990,จัดส่ง 2-3 วันทำการ,
ASUS,AIO Asus V241EAK-BA027WS,Intel i5-1135G7 / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,24990,24990,จัดส่ง 2-3 วันทำการ,
ASUS,AIO Asus M3400WYAK-BA008WS,AMD Ryzen 5 5625U / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,25990,25990,,
ASUS,AIO Asus A3402WBAK-BA005WS,Intel i5-1235U / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,26990,26990,จัดส่ง 2-3 วันทำการ,
ASUS,AIO Asus M5401WYAK-WA006WS,AMD Ryzen 5 5625U / 16GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,28990,28990,,
ASUS,AIO Asus A3402WBAK-BA007WS,Intel i7-1255U / 16GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,32990,32990,,
ASUS,AIO Asus M5401WYAK-WA003WS,AMD Ryzen 7 5825U / 16GB DDR4 / 1TB SSD / 23.8 inch / Integrated Graphics / Win 11,33990,33990,,
ASUS,AIO Asus M5401WYAT-WA001WS (Touch),AMD Ryzen 7 5825U / 16GB DDR4 / 512GB SSD / 23.8 inch (Touch-Screen) / Integrated Graphics / Win 11,33990,33990,จัดส่ง 2-3 วันทำการ,
LENOVO,AIO Lenovo IdeaCentre3 22ITL6 (F0G500DATA),Intel i3-1115G4 / 8GB DDR4 / 256GB SSD / 21.5 inch / Integrated Graphics / Win 11,17790.00,18900,"1,110",
LENOVO,AIO Lenovo ThinkCentre Neo 30a 24 (12CE0014TA),Intel Pentium 8505 / 4GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / DOS,15090.00,15400,310,
LENOVO,AIO Lenovo ThinkCentre Neo 30a 24 (12B000BDTA),Intel i3-1220P / 8GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / DOS,17290.00,17900,610,
LENOVO,AIO Lenovo ThinkCentre Neo 30a 24 (12B000BETA),Intel i3-1220P / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / DOS,18590.00,19400,810,
LENOVO,AIO Lenovo IdeaCentre3 24IAP7 (F0GH008ETA),Intel i3-1220P / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,21290.00,21900,"610
								 จัดส่ง 2-3 วันทำการ",
LENOVO,AIO Lenovo IdeaCentre3 24IAP7 (F0GH008FTA),Intel i3-1220P / 8GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / Win 11,20990.00,22400,"1,410",
LENOVO,AIO Lenovo IdeaCentre3 24ALC6 (F0G100MUTA),AMD Ryzen 5 5500U / 8GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / Win 11,21790.00,22500,710,
LENOVO,AIO Lenovo IdeaCentre3 24ALC6 (F0G100L7TA),AMD Ryzen 5 5500U / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,22490.00,23400,910,
LENOVO,AIO Lenovo ThinkCentre Neo 30a 24 (12B000B8TA),Intel i5-1240P / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / DOS,22390.00,22900,510,
DELL,AIO DELL Optiplex 3280-SNS328A004,Intel i3-10105T / 4GB DDR4 / 1TB HDD / 21.5 inch / Integrated Graphics / Linux,18590,19900,"1,310
								  โปรโมชั่น 16-31/01/66",
DELL,AIO DELL Inspiron 5415-W266313505ATH,AMD Ryzen 3 5425U / 8GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / Win11,17990,18900,"910
								  โปรโมชั่น 16-31/01/66",
DELL,AIO DELL Inspiron 5410-W266311200TH,Intel i3-1215U / 8GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / Win11,22090,22900,"810
								  โปรโมชั่น 16-31/01/66",
DELL,AIO DELL Inspiron 5415-W266313602ATH,AMD Ryzen 5 5625U / 8GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win11,23490,24400,"910
								  โปรโมชั่น 16-31/01/66",
DELL,AIO DELL Optiplex 5400-SNS540A003,Intel i5-12500 / 8GB DDR4 / 256GB SSD + 1TB HDD / 23.8 inch / Integrated Graphics / Win 11 Pro,38890,40900,"2,010
								  โปรโมชั่น 16-31/01/66",
DELL,AIO DELL Optiplex 5400-SNS540A004,Intel i5-12500T / 8GB DDR4 / 256GB SSD + 1TB HDD / 23.8 inch (Touch-Screen) / Integrated Graphics / Win 10 Pro,39690,40900,"1,210
								  โปรโมชั่น 16-31/01/66",
DELL,AIO DELL Optiplex 7400-SNS740A003,Intel i5-12500 / 8GB DDR4 / 256GB SSD + 1TB SSD / 23.8 inch / Integrated Graphics / Win 11 Pro,42690,44900,"2,210
								  โปรโมชั่น 16-31/01/66",
DELL,AIO DELL Inspiron 5415-W266314313ATH,AMD Ryzen 7 5825U / 16GB DDR4 / 512GB SSD / 23.8 inch / Integrated Graphics / Win 11,29490,30900,"1,410
								 จัดส่ง 2-3 วันทำการ",
DELL,AIO DELL Inspiron 5410-W266311800TH,Intel i7-1255U / 16GB DDR4 / 256GB SSD + 1TB HDD / 23.8 inch (Touch-Screen) / GeForce MX 550 2GB GDDR6 / Win11,37290,38900,"1,610
								  โปรโมชั่น 16-31/01/66",
HP,AIO HP Pro 205 G4 (69G42PA#AKL),AMD Ryzen 3 4300U / 4GB DDR4 / 256GB SSD / 21.5 inch / Integrated Graphics / Win 11,14090,14900,"810
								  โปรโมชั่น 16-31/01/66",
HP,AIO HP 22-df1045d (640W8PA#AKL),Intel i3-1125G4 / 8GB DDR4 / 256 SSD + 1TB HDD / 21.5 inch / Integrated Graphics / Win 11,21190,22400,"1,210
								  โปรโมชั่น 16-31/01/66",
HP,AIO HP 24-cb0039d (78F16PA#AKL),Intel Pentium J5040 / 8GB DDR4 / 128GB SSD + 1TB HDD / 23.8 inch / Integrated Graphics / Win 11,15190,15900,"710
								  โปรโมชั่น 16-31/01/66",
HP,AIO HP 24-cb1006d (6Q3W7PA#AKL),Intel i3-1215U / 8GB DDR4 / 128GB SSD + 1TB HDD / 23.8 inch / Integrated Graphics / Win11,18990,19900,"910
								  โปรโมชั่น 16-31/01/66",
HP,AIO HP 24-cb1005d (6Q3W6PA#AKL),Intel i3-1215U / 8GB DDR4 / 256GB SSD + 1TB HDD / 23.8 inch / Integrated Graphics / Win11,19390,20400,"1,010
								 จัดส่ง 2-3 วันทำการ",
HP,AIO HP Pro 205 G8 (58J21PA#AKL),AMD Ryzen 5 5500U / 8GB DDR4 / 256GB SSD / 23.8 inch / Integrated Graphics / Win 11,18290,18900,"610
								  โปรโมชั่น 16-31/01/66",
HP,AIO HP 24-cb0024d (640X3PA#AKL),AMD Ryzen 5 5500U / 8GB DDR4 / 256GB SSD + 1TB HDD / 23.8 inch / Integrated Graphics / Win 11,18890,19900,"1,010
								  โปรโมชั่น 16-31/01/66",
HP,AIO HP 24-cb1004d (6Q3W5PA#AKL),Intel i5-1235U / 8GB DDR4 / 256GB SSD + 1TB HDD / 23.8 inch / Integrated Graphics / Win11,22390,23400,"1,010
								  โปรโมชั่น 16-31/01/66",
HP,AIO HP 24-cb0022d (640X1PA#AKL),AMD Ryzen 7 5700U / 8GB DDR4 / 512GB SSD + 1TB HDD / 23.8 inch / Integrated Graphics / Win 11,24690,25900,"1,210
								  โปรโมชั่น 16-31/01/66",
HP,AIO HP 24-cb0023d (640X2PA#AKL),AMD Ryzen 7 5700U / 8GB DDR4 / 256GB SSD + 1TB HDD / 23.8 inch / Integrated Graphics / Win 11,25390,26900,"1,510
								  โปรโมชั่น 16-31/01/66",
HP,AIO HP 27-cb1009d (6W9X8PA#AKL),AMD Ryzen 5 5625U / 8GB DDR4 / 256GB SSD + 1TB HDD / 27 inch / Integrated Graphics / Win11,26390,27900,"1,510
								  โปรโมชั่น 16-31/01/66",
HP,AIO HP 27-cb1010d (6W9X9PA#AKL),,31090,32900,"1,810
								  โปรโมชั่น 16-31/01/66",
