Brand,Title,Info,Price,Price Before Discount,Discount,Stock
INTEL,คอมประกอบ Advice : Computer Set intel #i155 i3 10100F GTX1650 4GB GIGABYTE (OC/D6),,13700,13900,200,
INTEL,คอมประกอบ Advice : Computer Set intel #i130 i3 12100F GTX1650 4GB GIGABYTE (OC/D5),Intel i3-12100F / 16GB DDR4 / 500GB SSD / GeForce GTX 1650 4GB,17370,17500,130,
INTEL,คอมประกอบ Advice : Computer Set intel #i149 i3 12100F GTX1650 4GB ASUS TUF O4G-P GAMING (OC/D6),Intel i3-12100F / 16GB DDR4 / 256GB SSD / GeForce GTX 1650 4GB,16770,16900,130,
INTEL,คอมประกอบ Advice : Computer Set intel #i151 i3 12100F GTX1650 4GB MSI VENTUS XS (OC/D6),Intel i3-12100F / 16GB DDR4 / 250GB SSD / GeForce GTX 1650 4GB,17750,17900,150,
INTEL,คอมประกอบ Advice : Computer Set intel #i156 i3 12100F RTX3050 8GB MSI VENTUS 2X (OC/D6),Intel i3-12100F / 16GB DDR4 / 500GB SSD / GeForce RTX 3050 8GB,21720,21900,180,
INTEL,คอมประกอบ Advice : Computer Set intel #i150 i3 12100F RX6750XT 12GB ASUS DUAL O12G (D6),Intel i3-12100F / 16GB DDR4 / 500GB SSD / AMD RX 6750XT OC 12GB,28670,28900,230,
INTEL,คอมประกอบ Advice : Computer Set intel #i131 i3 12100 GTX1650 4GB ASUS TUF O4G-P GAMING (D6),Intel i3-12100 / 16GB DDR4 / 500GB SSD / GeForce GTX 1650 4GB,16770,16900,130,
INTEL,คอมประกอบ Advice : Computer Set intel #i128 i3 12100 RTX3050 8GB GALAX EX (D6),Intel i3-12100 / 16GB DDR4 / 500GB SSD / GeForce RTX 3050 8GB,20750,20900,150,
INTEL,คอมประกอบ Advice : Computer Set intel #i132 i3 12100 RTX3050 8GB ASUS DUAL O8G (OC/D6),Intel i3-12100 / 16GB DDR4 / 500GB SSD / GeForce RTX 3050 8GB,21720,21900,180,
INTEL,คอมประกอบ Advice : Computer Set intel #i153 i3 13100F RTX3060 8GB ASUS DUAL (OC/D6),Intel i3-13100F / 16GB DDR4 / 500GB SSD / GeForce RTX 3060 8GB,24720,24900,180,
INTEL,คอมประกอบ Advice : Computer Set intel #i160 i3 13100F RTX3060TI 8GB GIGABYTE WINDFORCE (OC/D6),Intel i3-13100F / 16GB DDR4 / 500GB SSD / GeForce RTX 3060 TI 8GB,26700,26900,200,
INTEL,คอมประกอบ Advice : Computer Set intel #i161 i3 13100F RTX3060TI/8GB ASUS DUAL O8G V2 (OC/D6),Intel i3-13100F / 16GB DDR4 / 500GB SSD / GeForce RTX 3060 Ti 8GB,28650,28900,250,
INTEL,คอมประกอบ Advice : Computer Set intel #i135 i5 12400 RX6700XT 12GB MSI MECH 2X (OC/D6),Intel i5-12400 / 16GB DDR4 / 500GB SSD / AMD RX 6700XT 12GB,35620,35900,280,
INTEL,คอมประกอบ Advice : Computer Set intel #i173 i5 13400F ARC A750 8GB INTEL GRAPHICS (D6),Intel i5-13400F / 16GB DDR4 / 500GB SSD / INTEL ARC A750 8GB,25700,25900,200,
INTEL,DESKTOP PC LENOVO IDEACENTRE GAMING 5 17IAB7 (90T100BSTA),Intel i5-12400F / 16GB DDR4 / 512GB SSD / GeForce RTX 3050 8GB GDDR6 / Win 11,24590,24590,,
INTEL,DESKTOP PC LENOVO IDEACENTRE GAMING 5 17IAB7 (90T10072TA),Intel i5-12400 / 16GB DDR4 / 512GB SSD / GeForce RTX 3060 12GB GDDR6 / Win 11,30990,30990,,
INTEL,DESKTOP PC LENOVO LEGION TOWER 5 26IAB7 (90SV007PTA),Intel i5-12400/ 16GB DDR5 / 512GB SSD / GeForce RTX 3060 12GB GDDR6 / Win 11,35990,35990,,
INTEL,DESKTOP PC LENOVO LEGION TOWER 5 26IAB7 (90SV003DTL),Intel i5-12400F / 16GB DDR5 / 512GB SSD / GeForce RTX 3060 Ti 8GB GDDR6 / Win 11,37990,37990,,
AMD,คอมประกอบ Advice : Computer Set intel #i155 i3 10100F GTX1650 4GB GIGABYTE (OC/D6),,13700,13900,200,
AMD,คอมประกอบ Advice : Computer Set intel #i130 i3 12100F GTX1650 4GB GIGABYTE (OC/D5),Intel i3-12100F / 16GB DDR4 / 500GB SSD / GeForce GTX 1650 4GB,17370,17500,130,
AMD,คอมประกอบ Advice : Computer Set intel #i149 i3 12100F GTX1650 4GB ASUS TUF O4G-P GAMING (OC/D6),Intel i3-12100F / 16GB DDR4 / 256GB SSD / GeForce GTX 1650 4GB,16770,16900,130,
AMD,คอมประกอบ Advice : Computer Set intel #i151 i3 12100F GTX1650 4GB MSI VENTUS XS (OC/D6),Intel i3-12100F / 16GB DDR4 / 250GB SSD / GeForce GTX 1650 4GB,17750,17900,150,
AMD,คอมประกอบ Advice : Computer Set intel #i156 i3 12100F RTX3050 8GB MSI VENTUS 2X (OC/D6),Intel i3-12100F / 16GB DDR4 / 500GB SSD / GeForce RTX 3050 8GB,21720,21900,180,
AMD,คอมประกอบ Advice : Computer Set intel #i150 i3 12100F RX6750XT 12GB ASUS DUAL O12G (D6),Intel i3-12100F / 16GB DDR4 / 500GB SSD / AMD RX 6750XT OC 12GB,28670,28900,230,
AMD,คอมประกอบ Advice : Computer Set intel #i131 i3 12100 GTX1650 4GB ASUS TUF O4G-P GAMING (D6),Intel i3-12100 / 16GB DDR4 / 500GB SSD / GeForce GTX 1650 4GB,16770,16900,130,
AMD,คอมประกอบ Advice : Computer Set intel #i128 i3 12100 RTX3050 8GB GALAX EX (D6),Intel i3-12100 / 16GB DDR4 / 500GB SSD / GeForce RTX 3050 8GB,20750,20900,150,
AMD,คอมประกอบ Advice : Computer Set intel #i132 i3 12100 RTX3050 8GB ASUS DUAL O8G (OC/D6),Intel i3-12100 / 16GB DDR4 / 500GB SSD / GeForce RTX 3050 8GB,21720,21900,180,
AMD,คอมประกอบ Advice : Computer Set intel #i153 i3 13100F RTX3060 8GB ASUS DUAL (OC/D6),Intel i3-13100F / 16GB DDR4 / 500GB SSD / GeForce RTX 3060 8GB,24720,24900,180,
AMD,คอมประกอบ Advice : Computer Set intel #i160 i3 13100F RTX3060TI 8GB GIGABYTE WINDFORCE (OC/D6),Intel i3-13100F / 16GB DDR4 / 500GB SSD / GeForce RTX 3060 TI 8GB,26700,26900,200,
AMD,คอมประกอบ Advice : Computer Set intel #i161 i3 13100F RTX3060TI/8GB ASUS DUAL O8G V2 (OC/D6),Intel i3-13100F / 16GB DDR4 / 500GB SSD / GeForce RTX 3060 Ti 8GB,28650,28900,250,
AMD,คอมประกอบ Advice : Computer Set intel #i135 i5 12400 RX6700XT 12GB MSI MECH 2X (OC/D6),Intel i5-12400 / 16GB DDR4 / 500GB SSD / AMD RX 6700XT 12GB,35620,35900,280,
AMD,คอมประกอบ Advice : Computer Set intel #i173 i5 13400F ARC A750 8GB INTEL GRAPHICS (D6),Intel i5-13400F / 16GB DDR4 / 500GB SSD / INTEL ARC A750 8GB,25700,25900,200,
AMD,DESKTOP PC LENOVO IDEACENTRE GAMING 5 17IAB7 (90T100BSTA),Intel i5-12400F / 16GB DDR4 / 512GB SSD / GeForce RTX 3050 8GB GDDR6 / Win 11,24590,24590,,
AMD,DESKTOP PC LENOVO IDEACENTRE GAMING 5 17IAB7 (90T10072TA),Intel i5-12400 / 16GB DDR4 / 512GB SSD / GeForce RTX 3060 12GB GDDR6 / Win 11,30990,30990,,
AMD,DESKTOP PC LENOVO LEGION TOWER 5 26IAB7 (90SV007PTA),Intel i5-12400/ 16GB DDR5 / 512GB SSD / GeForce RTX 3060 12GB GDDR6 / Win 11,35990,35990,,
AMD,DESKTOP PC LENOVO LEGION TOWER 5 26IAB7 (90SV003DTL),Intel i5-12400F / 16GB DDR5 / 512GB SSD / GeForce RTX 3060 Ti 8GB GDDR6 / Win 11,37990,37990,,
