Brand,Title,Info,Price,Price Before Discount,Discount,Stock
DELL,DELL DESKTOP TW W2685010MTH_V3910_BK_W,Intel Core i3-12100 | RAM 8GB | SSD 256GB | Intel UHD Graphics 730 | Windows 11,17990,,,
ASUS,ASUS DESKTOP TW S500SD-512400002WS,Intel Core i5-12400 | RAM 8GB | SSD 512GB | Windows 11,22990,,,
DELL,DELL DESKTOP TW VOSTRO V3910 W2687519MTH BLACK,Intel Core i5-12400 | RAM 8GB | SSD 512GB | Intel UHD Graphics 730 | Windows 11,20990,,,Out of stock
ASUS,ASUS DESKTOP TW S500TD-512400022W,Intel Core i5-12400 | RAM 8GB | SSD 512GB | Intel UHD Graphics 730 | Windows 11,20990,,,
DELL,DELL DESKTOP TW Vostro V3888-W26818113THHS Black,Intel Core i5-10400 | RAM 8GB | HDD 1TB | Intel UHD Graphics 630 | Windows 10 Home 64bit + McAfee LiveSafe 12 month Subscription + Microsoft Office Home & Student 2019,16990,,3910,
DELL,DELL DESKTOP TW Vostro W2687600MTH_V3910_Bk_W,Intel Core i7-12700 | RAM 8GB | SSD 512GB | Intel UHD Graphics 770 | Windows 11,28490,,,
ASUS,ASUS DESKTOP TW ROG G35DX-TH001W,AMD Ryzen 7 5800X | RAM 8GB | SSD 1TB | NVIDIA GeForce RTX3080 | Windows 11 Home,59990,,18000,Out of stock
ASUS,ASUS DESKTOP TW ROG G35 G35DX-TH003W (A),AMD Ryzen 9 5900X | RAM 32GB | SSD 2TB | NVIDIA GeForce RTX 3090 | Windows 11,99990,,35000,
MSI,MSI Gaming Desktop MAG Infinite S3 11TC-209TH,Intel Core i5-11400F | 16GB DDR4 | SSD 1TB | NVIDIA GeForce RTX 3060 VENTUS 2X | Windows 11 Home,40400,,4500,
MSI,MSI Gaming Desktop MPG Trident AS 11TC-2402TH,Intel Core i5-11400F | 16GB DDR4 | SSD 1TB | NVIDIA GeForce RTX 3060 VENTUS 2X | Windows 11 Home,46900,,,Out of stock
DELL,DELL DESKTOP TW GAMING ALIENWARE AURORA R13-W269251003TH,Intel Core i7-12700KF | RAM 16GB | SSD 512GB | NVIDIA GeForce RTX 3080 Ti | Windows 11,123990,,14000,
ACER,ACER DESKTOP TW GAMING NITRO N50-120-R7516G0TMGi/T009 (A),AMD Ryzen 7 5800 | RAM 16GB | SSD 512GB | NVIDIA GeForce RTX 3060Ti | Windows 11 Home 64-bit,52990,,,
ACER,ACER DESKTOP TW Aspire TC-1760-1278G0T0Mi-T003,Intel Core i7-12700 | RAM 16GB | SSD 512GB | Intel HD Graphics | Windows 11,28990,,,
ACER,ACER DESKTOP TW Aspire TC-1760-1248G0T0Mi-T002,Intel Core i5-12400 | RAM 8GB | SSD 512GB | Intel HD Graphics | Windows 11,20990,,500,
ACER,ACER DESKTOP TW Aspire TC-1760-1218G0T0Mi/T001,Intel Core i3-12100 | RAM 8GB | SSD 256GB | Intel HD Graphics | Windows 11,16990,,1000,Out of stock
ACER,ACER DESKTOP TW NITRO N50-620-11F16G0TMGI/T007,Intel Core i5-11400F | RAM 16GB | SSD 512GB | NVIDIA GeForce GTX 1660 SUPER | Windows 11,28990,,4000,Out of stock
ASUS,ASUS DESKTOP TW S500SC-310105055W,Intel Core i3-10105 | RAM 4GB | SSD 256GB | Intel UHD Graphics 630 | Windows 11 Home,14990,,,Out of stock
ASUS,ASUS DESKTOP TW S500SC-511400081W,Intel Core i5-11400 | RAM 8GB | SSD 256GB | Intel Iris Xe Graphics | Windows 11,16990,,1000,Out of stock
